GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EffectiveStudy,me.choi.spring_extentionmakinginstance,Child,6,0,0,0,3,0,1,0,1,0
EffectiveStudy,me.choi.spring_extentionmakinginstance,GrandMother,3,0,0,0,2,0,1,0,1,0
EffectiveStudy,me.choi.spring_extentionmakinginstance,Parent,18,0,0,0,9,0,3,0,3,0
EffectiveStudy,me.choi.spring_extentionmakinginstance,Main,9,0,0,0,3,0,2,0,2,0
EffectiveStudy,me.choi.item16,main,11,0,0,0,4,0,2,0,2,0
EffectiveStudy,me.choi.item16,Point,17,0,0,0,7,0,5,0,5,0
EffectiveStudy,me.choi.item16,TestTime,10,0,0,0,3,0,2,0,2,0
EffectiveStudy,me.choi.item16,Time,31,0,8,0,8,0,5,0,1,0
EffectiveStudy,me.choi.item17,mainTest,43,0,0,0,11,0,2,0,2,0
EffectiveStudy,me.choi.item17,ImmutableEx,181,0,8,0,24,0,16,0,12,0
EffectiveStudy,me.choi.item18,Main2,22,0,0,0,5,0,2,0,2,0
EffectiveStudy,me.choi.item18,InstrumentedHashSet,41,0,2,0,11,0,6,0,5,0
EffectiveStudy,me.choi.item18,Main,19,0,0,0,5,0,2,0,2,0
EffectiveStudy,me.choi.item18,Child,3,0,0,0,2,0,1,0,1,0
EffectiveStudy,me.choi.item18,InstrumentedHashSet3,31,0,0,0,8,0,4,0,4,0
EffectiveStudy,me.choi.item18,InstrumentedHashSet2,79,0,0,0,19,0,17,0,17,0
EffectiveStudy,me.choi.item18,Parent,6,0,0,0,4,0,2,0,2,0
EffectiveStudy,me.choi.others.statickeyword,StaticExercise2,17,0,0,0,7,0,3,0,3,0
EffectiveStudy,me.choi.others.statickeyword,StaticExercise1,9,0,0,0,5,0,3,0,3,0
EffectiveStudy,me.choi.others.statickeyword,StaticExercise3,23,0,0,0,10,0,5,0,5,0
EffectiveStudy,me.choi.others.statickeyword,Company,26,16,0,0,8,6,1,2,1,2
EffectiveStudy,me.choi.item02.pizza.localinnerclass,Outer.new Runnable() {...},29,0,0,0,6,0,2,0,2,0
EffectiveStudy,me.choi.item02.pizza.localinnerclass,Outer,18,0,0,0,5,0,3,0,3,0
EffectiveStudy,me.choi.item02.pizza.localinnerclass,LocalInnerClass,14,0,0,0,5,0,2,0,2,0
EffectiveStudy,me.choi.item02.pizza.generic.extendsgeneric,Parent,10,0,0,0,5,0,2,0,2,0
